order_id,order_date,customer_id,basket_items,basket_categories,association_groups,total_distinct_products,total_units,net_amount_jd,season_event
O202601103,2026-04-12,C0049,"Spuds Sour Cream & Onion Craft Cooked Chips, 65g",Chips,Dairy,1,3,2.25,Normal
O202601104,2026-04-12,C0129,"Mr.Chips Cheese Potato Chips, 68g",Chips,Chips,1,1,0.6,Normal
O202601105,2026-04-12,C0076,"Freez Blue Hawaii Tropical Fruits Flavored Carbonated Drink, 275ml | Kinder Joy Chocolate Egg for Boys Assorted, 20g | Mr.Chips Paprika Snack Mix, 78g | G Mixed Berry Fusion Flavored Soda, 300ml",Specialty Drinks | Chocolate | Chips | Soft Drinks,Fruit And Veg | Chocolate | Chips | Soft Drinks,4,6,4,Normal
O202601106,2026-04-12,C0027,"NewLand Hickory Smoked Barbecue Sauce 510 g | Mr.Chips Crocodile Cheese & Pizza Flavor Snack, 58g | Eti PopkekÂ Cocoa Cake, 35g | Jordina Joy Orange, 1L",Cooking & Baking | Chips | Cakes and Rolls | Soft Drinks,Sauce | Frozen pizza | Bakery | Juices,4,6,4.8,Normal
O202601107,2026-04-12,C0060,"NewLand Sliced Black Olives 345 g | Abu Kass Basmati Rice, 4kg | Milka Choco Wafer, (5 Pieces), 150g | Aroma Garden Magloubeh Spices, 100g",Canned Vegetables | rice | Chocolate | Cooking & Baking,Fruit And Veg | Rice | Soft Drinks | Spices & Seasonings,4,4,11.09,Normal
O202601108,2026-04-12,C0020,"Ozmo Fun Shape Milk Chocolate Lollipop, 23g",Chocolate,Soft Drinks,1,4,2.4,Normal
O202601109,2026-04-12,C0002,"Alyoum Yoghurt, 1kg | Galaxy Hazelnut Chocolate Bar, 30g",youghurt | Chocolate,Dairy | Soft Drinks,2,2,2.04,Normal
O202601110,2026-04-12,C0044,"Koita Organic Chocolate Milk Uht 200 ml | Mr.Chips Salt & Vinegar Potato Chips, 68g",Long Life Milk | Chips,Chocolate | Chips,2,2,2.25,Normal
O202601111,2026-04-13,C0091,"Bifa Keks Cocoa Oval Banana Sauce Cake, 45g | Mr.Chips Crocodile Cheese & Pizza Flavor Snack, 58g | Almarai Mango Juice, 1L",Cakes and Rolls | Chips | Juices,Sauce | Frozen pizza | Juices,3,5,2.25,Normal
O202601112,2026-04-13,C0110,"Kinder Chocolate Milk Chocolate Bars With Milky Filling (4 Bars), 50g",Chocolate,Chocolate,1,1,0.6,Normal
O202601113,2026-04-13,C0025,"L'usine Cupcakes Filled with Chocolate Cream, 18x30g",Cakes and Rolls,Dairy,1,1,1.8,Normal
O202601114,2026-04-13,C0084,"Pomi Whole Peeled Tomatoes, 400g",Canned Fruit,Fruit And Veg,1,1,1.75,Normal
O202601115,2026-04-13,C0113,"Barilla Rigatoni 500 g | Eti Pop Kek Mini Cake with Dark Chocolate, 144g",pasta | Cakes and Rolls,Pasta | Bakery,2,2,3.28,Normal
O202601116,2026-04-13,C0136,"Benina Garlic Chili Sauce, 280g | Frozen fries | Matrix Fruit Carbonated Drink, 250ml",Cooking & Baking | frozen food | Soft Drinks,Sauce | Frozen fries | Soft Drinks,3,3,4.74,Normal
O202601117,2026-04-13,C0057,"Frozen fries | Kinza Zero Sugar Lemon Soft Drink Can, 250ml",frozen food | Soft Drinks,Frozen fries | Soft Drinks,2,3,3.83,Normal
O202601118,2026-04-14,C0113,Blue Mill Garlic Powder 200 g | Frozen fries,Cooking & Baking | frozen food,Sauce | Frozen fries,2,2,5.89,Normal
O202601119,2026-04-14,C0148,"Sunwhite Calrose Rice, 4kg | Rio Mare Light Tuna in Olive Oil, 160g | Albayrouty Sweet Corn 340 g | Aroma Garden Organic Meat Spices, 120g | Kinza Soda Water Can, 250ml",rice | Canned Seafood | Canned Vegetables | Cooking & Baking | water,Rice | Oil | Fruit And Veg | Spices & Seasonings | Water,5,10,22.98,Normal
O202601120,2026-04-14,C0036,"Kikkoman Soy Sauce, 591ml | Frozen pizza",Cooking & Baking | frozen food,Sauce | Frozen pizza,2,2,7.14,Normal
O202601121,2026-04-14,C0118,"Almarai Full Fat Fresh Yoghurt, 700g | Pringles Sour Cream & Onion Chips Can, 165g",youghurt | Chips,Eggs | Dairy,2,2,2.7,Normal
O202601122,2026-04-14,C0035,"Eti Pop Kek Cocoa Cake, 200g",Cakes and Rolls,Bakery,1,1,1.95,Normal
O202601123,2026-04-14,C0018,"Teeba 9% Fat Labneh, 500g | G Pink Lemonade Flavored Soda, 300ml | Americana Marble Pound Cake, 300g",labneh | Soft Drinks | Cakes and Rolls,Dairy | Soft Drinks | Bakery,3,5,5.8,Normal
O202601124,2026-04-14,C0111,"Alyoum Burger Buns with Sesame Seeds, 6 Pieces | burger",Burger Buns | frozen food,Burger Buns | Burger,2,2,4.8,Normal
O202601125,2026-04-14,C0102,Frozen fries,frozen food,Frozen fries,1,1,1.85,Normal
O202601126,2026-04-14,C0037,"NewLand Special Sauce For Burgers & Fries, 300g | Mr.Chips Crocodile Cheese & Pizza Flavor Snack, 58g | Al Rabie Orange Juice, 1L",Cooking & Baking | Chips | Juices,Sauce | Frozen pizza | Juices,3,5,7.35,Normal
O202601127,2026-04-14,C0147,"Mr.Chips Waves Smoky Bbq Chips, 50g | Galaxy Hazelnut Chocolate Bar, 30g",Chips | Chocolate,Chips | Chocolate,2,2,1.42,Normal
O202601128,2026-04-15,C0123,"Lay's Chili Potato Chips, 110g | Mr.Chips Pizza Flavor Corn Chips, 58g | Al Rabie Orange Juice, 1L",Chips | Chips | Juices,Chips | Frozen pizza | Juices,3,7,5.3,Normal
O202601129,2026-04-15,C0053,"Blue Mill Garlic Powder 200 g | Almarai Cream Cheese, 6 Portion, 108g | Alyoum Burger Buns, 6 Pieces | Almarai Full Fat Processed Cheddar Burger Cheese (10 Slices), 200g",Cooking & Baking | cheese | Burger Buns | Cheese,Sauce | Cheese | Burger Buns | Burger,4,4,5.86,Normal
O202601130,2026-04-15,C0002,"Frozen fries | Frozen pizza | KDD Long Life Apple Juice, 1L | NewLand Mayonnaise Garlic Flavor 300ml | Nadec Milk Chocolate Milk, 6x125ml",frozen food | frozen food | Juices | Cooking & Baking | Long Life Milk,Frozen fries | Frozen pizza | Juices | Sauce | Soft Drinks,5,11,21.62,Normal
O202601131,2026-04-15,C0140,"NewLand Mayonnaise Garlic Flavor 300ml | Frozen pizza | Almarai Mixed Berry Juice, 1.4L",Cooking & Baking | frozen food | Juices,Sauce | Frozen pizza | Juices,3,4,9.2,Normal
O202601132,2026-04-16,C0043,"Galaxy Dark Truffle Dark Chocolate Bar, 33g | Eti Pop Kek Mini Cake with Dark Chocolate, 144g",Chocolate | Cakes and Rolls,Soft Drinks | Bakery,2,5,4.68,Normal
O202601133,2026-04-16,C0142,"Nestle Kitkat Hazelnut 4 Fingers Chocolate, 41.5g | Mr.Chips Pizza Flavor Corn Chips, 58g | Al Rabie Orange Juice, 1L | Smart Chips Ketchup Flavor Stix, 75g | Lay's Salt & Vinegar Chips, 110g | Eti Adicto Gold Mini Chocolate Brown Cake, 180g",Chocolate | Chips | Juices | Chips | Chips | Cakes and Rolls,Chocolate | Frozen pizza | Juices | Sauce | Chips | Soft Drinks,6,10,11.01,Normal
O202601134,2026-04-16,C0097,"Bifa Keks Cocoa Oval Banana Sauce Cake, 45g | Said Junior Cup 50 g | Mr.Chips Pizza Flavor Corn Chips, 58g | Crush Orange Soft Drink Pet Bottle, 1L",Cakes and Rolls | Chocolate | Chips | Soft Drinks,Sauce | Chocolate | Frozen pizza | Juices,4,6,2.17,Normal
O202601135,2026-04-16,C0131,"Alyoum Burger Buns, 6 Pieces | Kraft Original Cheddar Cheese Slices, 200g | Burger | NewLand Mayonnaise Garlic Flavor 300ml | Raffaello Premium Coconut & Almond Pralines, 30g",Burger Buns | Cheese | frozen food | Cooking & Baking | Chocolate,Burger Buns | Cheese | Burger | Sauce | Soft Drinks,5,6,12.99,Normal
O202601136,2026-04-16,C0024,"Mr.Chips Waves Smoky Bbq Chips, 50g | Eti Pop Kek Mini Cake with Dark Chocolate, 144g | Kinder Happy Hippo Biscuits with Double Cream Filling, 103.5g",Chips | Cakes and Rolls | Chocolate,Chips | Soft Drinks | Chocolate,3,6,9.35,Normal
O202601137,2026-04-16,C0113,"NewLand Mayonnaise, 300ml | Frozen fries | Eti Pop Kek Mini Cake with Dark Chocolate, 144g",Cooking & Baking | frozen food | Cakes and Rolls,Sauce | Frozen fries | Soft Drinks,3,6,10.25,Normal
O202601138,2026-04-16,C0010,"Al-Bayrouti Chick Peas 3x400g | Mr.Chips Paprika Potato Chips, 68g",Canned Fruit | Chips,Fruit And Veg | Spices & Seasonings,2,3,2.7,Normal
O202601139,2026-04-17,C0092,"Nadec Long Life Full Fat UHT Milk, 4x1L",Long Life Milk,Dairy,1,1,3.35,Normal
O202601140,2026-04-17,C0086,"NewLand Special Sauce For Burgers & Fries, 300g | Durra Hummus Grains 400 g | Bifa Keks Cocoa Oval Banana Sauce Cake, 45g | Spuds Sweet & Chilli Salsa Craft Cooked Chips, 65g | The Bridge Bio Organic Pure Coconut Drink, 1L",Cooking & Baking | Canned Vegetables | Cakes and Rolls | Chips | Milk Alternatives,Frozen fries | Fruit And Veg | Sauce | Chips | Dairy,5,6,8.13,Normal
O202601141,2026-04-17,C0147,"Smart Chips Crunchy Rings Pizza Flavor, 80g",Chips,Chips,1,1,1,Normal
O202601142,2026-04-17,C0032,"Lay's Tomato Ketchup Potato Chips, 110g | Almarai Cheddar Cheese Slices, 200g | Mythic Sensation Mini Milk Chocolate 30 g | Alyoum Burger Buns, 6 Pieces",Chips | Cheese | Chocolate | Burger Buns,Sauce | Cheese | Soft Drinks | Burger,4,4,3.5,Normal
O202601143,2026-04-17,C0077,"Galaxy Minstrels Chocolate, 42g | Nadec Milk Chocolate Milk, 6x125ml | Eti Aditco Chocolate Cake, 36g",Chocolate | Long Life Milk | Cakes and Rolls,Chocolate | Soft Drinks | Bakery,3,3,2.83,Normal
O202601144,2026-04-17,C0143,Burger,frozen food,Burger,1,1,3.1,Normal
O202601145,2026-04-17,C0132,"Nadec Full Fat Fresh Milk, 6x125ml",Long Life Milk,Dairy,1,1,1.13,Normal
O202601146,2026-04-18,C0146,"NewLand Tomato Ketchup 567 g | Frozen fries | Almarai Greek Style Full Fat Blueberry Yoghurt, 150g | Jordina Joy Cola, 1L",Cooking & Baking | frozen food | Yoghurts | Soft Drinks,Sauce | Frozen fries | Eggs | Soft Drinks,4,6,7.24,Normal
O202601147,2026-04-18,C0044,"Maxims Sweet Corn, 340g",Canned Vegetables,Fruit And Veg,1,1,1.5,Normal
O202601148,2026-04-18,C0120,"Alyoum Burger Buns, 6 Pieces | Almarai Full Fat Processed Cheddar Burger Cheese (10 Slices), 200g | Burger | Bifa Keks Cocoa Oval Banana Sauce Cake, 45g | Jordina Joy Orange, 1L",Burger Buns | Cheese | frozen food | Cakes and Rolls | Soft Drinks,Burger Buns | Cheese | Burger | Sauce | Soft Drinks,5,9,8.6,Normal
O202601149,2026-04-18,C0036,"NewLand Special Sauce For Burgers & Fries, 300g | Frozen fries | Galaxy Hazelnut Chocolate Bar, 30g",Cooking & Baking | frozen food | Chocolate,Sauce | Frozen fries | Soft Drinks,3,4,5.44,Normal
O202601150,2026-04-18,C0129,"Mythic Sensation Mini Milk Chocolate 30 g | Spuds Sour Cream & Onion Craft Cooked Chips, 65g | G Mixed Berry Fusion Flavored Soda, 300ml",Chocolate | Chips | Soft Drinks,Chocolate | Chips | Soft Drinks,3,5,2.95,Normal
O202601151,2026-04-18,C0080,"Ozmo Fun Shape Milk Chocolate Lollipop, 23g | Lay's Salt & Vinegar Chips, 110g | Galaxy Hazelnut Chocolate Bar, 30g",Chocolate | Chips | Chocolate,Chocolate | Chips | Soft Drinks,3,3,2.37,Normal
O202601152,2026-04-18,C0001,"American Garden Red Kidney Beans (Easy Open Lids), 400g | Mr.Chips Salt & Vinegar Potato Chips, 68g",Canned Vegetables | Chips,Fruit And Veg | Chips,2,2,1.35,Normal
O202601153,2026-04-18,C0122,"Doritos Nacho Cheese Tortilla Chips, 120g | Super Sour Green Apple Carbonated Drink, 250ml | Eti Aditco Chocolate Cake, 36g",Chips | Soft Drinks | Cakes and Rolls,Chips | Soft Drinks | Chocolate,3,6,2.71,Normal
O202601154,2026-04-18,C0063,"Barni Chocolate Cake, 30g | Spuds Prime Ribs Craft Cooked Chips, 65g",Cakes and Rolls | Chips,Chocolate | Chips,2,4,1.95,Normal
O202601155,2026-04-18,C0147,"Mythic Sensation Mini Milk Chocolate 30 g | Pringles Salt & Vinegar Chips Can, 165g",Chocolate | Chips,Chocolate | Chips,2,2,2.25,Normal
O202601156,2026-04-18,C0017,"Maxims Sweet Corn, 340g | Al-Ghazal Pasta Bucatini 1, 300g",Canned Vegetables | pasta,Canned Vegetables | Pasta,2,2,1.99,Normal
O202601157,2026-04-18,C0064,"Choco Lake Diamond Twist Kunafa with Peanut Butter Filling, 450g | Molto XL Croissant Chocolate With Hazelnut, 42.5g",Chocolate | Cakes and Rolls,Chocolate | Bakery,2,2,5.24,Normal
O202601158,2026-04-19,C0093,"Mr. Brown Chocolate Flavor Iced Coffee, 240ml | Pringles BBQ Chips Can, 165g | Eti Pop Kek Mini Cake with Dark Chocolate, 144g",Specialty Drinks | Chips | Cakes and Rolls,Chocolate | Chips | Soft Drinks,3,6,9.25,Normal
O202601159,2026-04-19,C0107,"Mr.Chips Salt & Vinegar Potato Chips, 68g",Chips,Chips,1,1,0.6,Normal
O202601160,2026-04-19,C0100,NewLand Pineapple Slices In Light Syrup 565 g,Canned Fruit,Fruit And Veg,1,1,1.89,Normal
O202601161,2026-04-19,C0083,"Alyoum Burger Buns with Sesame Seeds, 6 Pieces | Doritos Nacho Cheese Tortilla Chips, 120g | Burger | Eti Pop Kek Cocoa Cake, 200g | Kikkoman Soy Sauce, 591ml | Eti Adicto Gold Mini Chocolate Brown Cake, 180g",Burger Buns | Chips | frozen food | Cakes and Rolls | Cooking & Baking | Cakes and Rolls,Burger Buns | Cheese | Burger | Bakery | Sauce | Soft Drinks,6,6,12.55,Normal
O202601162,2026-04-19,C0130,"California Garden Whole Kernal Sweet Corn, 400g | Pasta Zara Conchiglie No.54, 500g",Canned Vegetables | pasta,Canned Vegetables | Pasta,2,2,2.36,Normal
O202601163,2026-04-19,C0134,"NewLand Mayonnaise Garlic Flavor 300ml | NewLand Special Sauce For Burgers & Fries, 300g | Storck Toffifee Hazelnut In Caramel Candy, 125g",Cooking & Baking | Cooking & Baking | Chocolate,Sauce | Frozen fries | Soft Drinks,3,3,5.59,Normal
O202601164,2026-04-19,C0094,"Eti Pop Kek Cocoa Cake, 200g",Cakes and Rolls,Bakery,1,1,1.95,Normal
O202601165,2026-04-19,C0037,"Barakah Al Sanabel Chiffari Lisci, 450g | Galaxy Dark Truffle Dark Chocolate Bar, 33g",pasta | Chocolate,Pasta | Soft Drinks,2,2,1.09,Normal
O202601166,2026-04-19,C0056,"Galaxy Jewels Assorted Chocolate Box, 650g",Chocolate,Soft Drinks,1,1,17.3,Normal
O202601167,2026-04-19,C0076,"Ozmo Hoppo Biscuit Filled with Chocolate Cream, 40g | Spuds Sour Cream & Onion Craft Cooked Chips, 65g | Kinza Blackcurrant Carbonated Drink Can, 250ml",Chocolate | Chips | Soft Drinks,Chocolate | Chips | Soft Drinks,3,3,1.6,Normal
O202601168,2026-04-19,C0088,"Alpro Plant-Based Barista Soya Drink, 1L",Milk Alternatives,Dairy,1,2,5.6,Normal
O202601169,2026-04-20,C0085,"Ferrero Rocher Fine Crunchy Hazelnuts Dipped in Smooth Milk Chocolate, (3 Pieces), 37.5g | Bifa Keks Roll Cake with Cocoa Cream, 50g",Chocolate | Cakes and Rolls,Chocolate | Dairy,2,2,1.25,Normal
O202601170,2026-04-20,C0013,"Nadec Milk Chocolate Milk, 6x125ml | Frozen fries | Lay's Tomato Ketchup Potato Chips, 110g | Eti Adicto Gold Mini Chocolate Brown Cake, 180g",Long Life Milk | frozen food | Chips | Cakes and Rolls,Chocolate | Frozen fries | Sauce | Soft Drinks,4,7,11.3,Normal
O202601171,2026-04-20,C0023,"Said Junior Cup 50 g | Doritos Nacho Cheese Tortilla Chips, 120g | L'usine Cupcakes Filled with Chocolate Cream, 18x30g | Cool Gear Water Bottle - Pink, 650ml",Chocolate | Chips | Cakes and Rolls | back to school,Chocolate | Chips | Soft Drinks | Water,4,7,13.6,Normal
O202601172,2026-04-20,C0073,"Mr.Chips Disco Cheddar Cheese Flavor Snack, 58g | Alyoum Burger Buns, 6 Pieces | Burger",Chips | Burger Buns | frozen food,Cheese | Burger Buns | Burger,3,5,6.84,Normal
O202601173,2026-04-20,C0104,"Mr.Chips Bugles Cheese Flavor Corn Snacks, 33g | Kinza Soda Water Can, 250ml",Chips | water,Chips | Water,2,2,0.66,Normal
O202601174,2026-04-20,C0065,SWYOUN 48PCS Eid Al Adha Cupcake Topper Party Decorations,Eid al-Adha,Bakery,1,1,0.75,Normal
O202601175,2026-04-20,C0090,"Almarai Unsalted Natural Butter, 200g",butter,Dairy,1,1,2.05,Normal
O202601176,2026-04-21,C0005,Frozen pizza,frozen food,Frozen pizza,1,1,3.59,Normal
O202601177,2026-04-21,C0037,"Lurpak Unsalted Butter, 6x50g",butter,Dairy,1,1,4.23,Normal
O202601178,2026-04-21,C0056,"Raffaello Premium Coconut & Almond Pralines, 30g | Mr.Chips Waves Smoky Bbq Chips, 50g | Ferrero Rocher Fine Crunchy Hazelnuts Dipped in Smooth Milk Chocolate, (3 Pieces), 37.5g",Chocolate | Chips | Chocolate,Chocolate | Chips | Soft Drinks,3,6,5.55,Normal
O202601179,2026-04-21,C0045,"Hala Cheezers Twist Chips, 30g | Galaxy Jewels Assorted Chocolate Box, 650g | Galaxy Minstrels Chocolate, 42g",Chips | Chocolate | Chocolate,Chips | Soft Drinks | Chocolate,3,3,18.49,Normal
O202601180,2026-04-21,C0147,"NewLand Mayonnaise Garlic Flavor 300ml | Frozen fries | Eti Adicto Gold Mini Chocolate Brown Cake, 180g",Cooking & Baking | frozen food | Cakes and Rolls,Sauce | Frozen fries | Soft Drinks,3,5,9.21,Normal
O202601181,2026-04-22,C0002,"Spuds Sour Cream & Onion Craft Cooked Chips, 65g | Frozen pizza",Chips | frozen food,Chips | Frozen pizza,2,4,4.74,Normal
O202601182,2026-04-22,C0141,"Almarai Vanilla Fat Free Protein Milk No Added Sugar, 400ml",Sports & Energy Drinks,Dairy,1,2,3.24,Normal
O202601183,2026-04-22,C0106,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,1,1,0.35,Normal
O202601184,2026-04-22,C0025,"Ard Jdadna Powder Garlic, 200g | Alyoum Burger Buns, 6 Pieces | Jordina Joy Orange, 1L | Almarai Full Fat Processed Cheddar Burger Cheese (10 Slices), 200g",Cooking & Baking | Burger Buns | Soft Drinks | Cheese,Sauce | Burger Buns | Soft Drinks | Burger,4,5,5.3,Normal
O202601185,2026-04-22,C0045,"Mr.Chips Waves Grilled Burger Chips, 50g",Chips,Burger,1,1,0.65,Normal
O202601186,2026-04-22,C0033,"Luna Red Kidney Beans, 380g | Barilla Rigatoni 500 g",Canned Vegetables | pasta,Canned Vegetables | Pasta,2,5,5.64,Normal
O202601187,2026-04-22,C0052,"Pasta Zara Conchiglie No.54, 500g",pasta,Pasta,1,1,1.27,Normal
O202601188,2026-04-22,C0144,"Lay's Salt & Vinegar Chips, 110g | Frozen fries | Eti Pop Kek Mini Cake with Dark Chocolate, 144g",Chips | frozen food | Cakes and Rolls,Chips | Frozen fries | Bakery,3,3,4.5,Normal
O202601189,2026-04-22,C0051,"Benina Soy Sauce Mild, 150g | NewLand Special Sauce For Burgers & Fries, 300g | KDD Thick Cream, 4x125ml | Galaxy Minstrels Chocolate, 42g",Cooking & Baking | Cooking & Baking | cream | Chocolate,Sauce | Frozen fries | Dairy | Soft Drinks,4,4,5.86,Normal
O202601190,2026-04-23,C0133,"NewLand Sliced Black Olives 345 g | Barakah Al Sanabel Chiffari Lisci, 450g",Canned Vegetables | pasta,Canned Vegetables | Pasta,2,2,1.55,Normal
O202601191,2026-04-23,C0040,"NewLand Mayonnaise Garlic Flavor 300ml | Mr.Chips Pizza Flavor Corn Chips, 58g | Super Sour Green Apple Carbonated Drink, 250ml | Americana Orange Pound Cake, 300g",Cooking & Baking | Chips | Soft Drinks | Cakes and Rolls,Sauce | Frozen pizza | Soft Drinks | Juices,4,5,6.01,Normal
O202601192,2026-04-23,C0057,"Alyoum Burger Buns with Sesame Seeds, 6 Pieces | Mr.Chips Cheese Pop Corn, 58g | Burger | Kikkoman Soy Sauce, 591ml | Barni Chocolate Cake, 30g",Burger Buns | Chips | frozen food | Cooking & Baking | Cakes and Rolls,Burger Buns | Cheese | Burger | Sauce | Soft Drinks,5,8,14.65,Normal
O202601193,2026-04-23,C0044,"Five Cows Thick Cream, 4x125ml",cream,Dairy,1,1,1.75,Normal
O202601194,2026-04-23,C0002,"Kinder Chocolate Milk Chocolate Bars With Milky Filling (4 Bars), 50g | Mr.Chips Waves Honey Mustard Chips, 50g",Chocolate | Chips,Chocolate | Chips,2,2,1.25,Normal
O202601195,2026-04-23,C0140,"Galaxy Caramel Chocolate Bar, 34g | Galaxy Crispy Chocolate Bar,Â 30g",Chocolate | Chocolate,Chocolate | Soft Drinks,2,4,3.08,Normal
O202601196,2026-04-23,C0024,"Kinder Bueno Milk Chocolate Bar in Wafer with Hazelnut Cream, 43g | Pringles Salt & Vinegar Chips Can, 165g | G Cherry Pop Sugar Free Flavored Soda, 300ml | Eti Pop Kek Mini Cake with Dark Chocolate, 144g",Chocolate | Chips | Soft Drinks | Cakes and Rolls,Chocolate | Chips | Soft Drinks | Bakery,4,7,7.3,Normal
O202601197,2026-04-23,C0092,"NewLand Mayonnaise Garlic Flavor 300ml | Frozen fries | Nestle Kitkat Hazelnut 4 Fingers Chocolate, 41.5g",Cooking & Baking | frozen food | Chocolate,Sauce | Frozen fries | Soft Drinks,3,4,6.21,Normal
O202601198,2026-04-23,C0063,"Barni Chocolate Cake, 30g | Lay's French Cheese Potato Chips, 110g | Galaxy Minstrels Chocolate, 42g",Cakes and Rolls | Chips | Chocolate,Chocolate | Chips | Soft Drinks,3,6,5.59,Normal
O202601199,2026-04-23,C0011,"Frozen pizza | Nestle Mineral Water, 6x1.5L",frozen food | water,Frozen pizza | Water,2,2,5.79,Normal
O202601200,2026-04-24,C0041,"NewLand Special Sauce For Burgers & Fries, 300g | Nadec Milk Chocolate Milk, 6x125ml | Bifa Keks Cocoa Oval Banana Sauce Cake, 45g",Cooking & Baking | Long Life Milk | Cakes and Rolls,Sauce | Soft Drinks | Bakery,3,5,6.3,Normal
O202601201,2026-04-24,C0073,"Kinder Happy Hippo Biscuits with Double Cream Filling, 103.5g",Chocolate,Soft Drinks,1,2,3.9,Normal
O202601202,2026-04-24,C0144,"Lay's Salt & Vinegar Chips, 110g | Frozen fries | Barni Chocolate Cake, 30g | Raffaello Premium Coconut & Almond Pralines, 30g",Chips | frozen food | Cakes and Rolls | Chocolate,Chips | Frozen fries | Soft Drinks | Chocolate,4,4,4.2,Normal
O202601203,2026-04-24,C0100,"Almarai Greek Style Mango Yoghurt, 150g",Yoghurts,Dairy,1,1,0.87,Normal
O202601204,2026-04-24,C0144,"Mr.Chips Disco Cheddar Cheese Flavor Snack, 58g | Eti Aditco Chocolate Cake, 36g | Galaxy Dark Truffle Dark Chocolate Bar, 33g",Chips | Cakes and Rolls | Chocolate,Chips | Soft Drinks | Chocolate,3,5,1.91,Normal
O202601205,2026-04-24,C0077,"Mr.Chips Waves Honey Mustard Chips, 50g | Nadec Milk Chocolate Milk, 6x125ml | Storck Toffifee Hazelnut In Caramel Candy, 125g | Mythic Sensation Mini Milk Chocolate 30 g",Chips | Long Life Milk | Chocolate | Chocolate,Chips | Dairy | Soft Drinks | Chocolate,4,7,9.55,Normal
O202601206,2026-04-24,C0128,"Maxim's Sliced Tuna With Garlic And Black Pepper 120 g | Frozen pizza | Almarai Mango Juice, 1L",Canned Seafood | frozen food | Juices,Sauce | Frozen pizza | Juices,3,3,5.85,Normal
O202601207,2026-04-24,C0143,"Mr.Chips Chilli Potato Chips, 68g | Al-Ghazal Pasta Bucatini 1, 300g | SWYOUN 48PCS Eid Al Adha Cupcake Topper Party Decorations",Chips | pasta | Eid al-Adha,Chips | Pasta | Bakery,3,5,2.82,Normal
O202601208,2026-04-24,C0022,Durra Hummus Grains 400 g,Canned Vegetables,Fruit And Veg,1,1,0.66,Normal
O202601209,2026-04-25,C0086,"Al-Ghazal Pasta Bucatini 1, 300g",pasta,Pasta,1,1,0.49,Normal
O202601210,2026-04-25,C0040,"Alyoum Burger Buns, 6 Pieces | Mr.Chips Bugles Cheese Flavor Corn Snacks, 33g | Burger | Ard Jdadna Powder Garlic, 200g | L'usine Cupcakes Filled with Chocolate Cream, 18x30g",Burger Buns | Chips | frozen food | Cooking & Baking | Cakes and Rolls,Burger Buns | Cheese | Burger | Sauce | Soft Drinks,5,7,10.8,Normal
O202601211,2026-04-25,C0012,"Smart Chips Crunchy Rings Pizza Flavor, 80g | Said Junior Cup 50 g | L'usine Cupcakes Filled with Chocolate Cream, 18x30g",Chips | Chocolate | Cakes and Rolls,Chips | Soft Drinks | Chocolate,3,4,4.3,Normal
O202601212,2026-04-25,C0014,"Cheetos Crunchy Flaming Hot Chips, 115g | Mr.Chips Pizza Flavor Corn Chips, 58g",Chips | Chips,Chips | Frozen pizza,2,4,3.25,Normal
O202601213,2026-04-25,C0010,"Lay's Chili Potato Chips, 110g | Storck Toffifee Hazelnut In Caramel Candy, 125g | Eti Pop Kek Mini Cake with Dark Chocolate, 144g",Chips | Chocolate | Cakes and Rolls,Chips | Soft Drinks | Chocolate,3,4,6.9,Normal
O202601214,2026-04-25,C0058,"Mr. Brown Chocolate Flavor Iced Coffee, 240ml | Nadec Long Life Full Fat UHT Milk, 4x1L | Molto XL Croissant Chocolate With Hazelnut, 42.5g",Specialty Drinks | Long Life Milk | Cakes and Rolls,Chocolate | Dairy | Bakery,3,4,5.5,Normal
O202601215,2026-04-25,C0075,"NewLand Tomato Ketchup 567 g | Mr.Chips Pizza Flavor Corn Chips, 58g | Crush Orange Soft Drink Pet Bottle, 1L",Cooking & Baking | Chips | Soft Drinks,Sauce | Frozen pizza | Juices,3,4,3,Normal
O202601216,2026-04-25,C0141,"Al-Ghazal Pasta Bucatini 1, 300g",pasta,Pasta,1,1,0.49,Normal
O202601217,2026-04-25,C0005,"Kikkoman Soy Sauce, 591ml | Frozen fries | Nadec Milk Chocolate Milk, 6x125ml",Cooking & Baking | frozen food | Long Life Milk,Sauce | Frozen fries | Soft Drinks,3,6,10.8,Normal
O202601218,2026-04-25,C0073,"Kinder Bueno Milk Chocolate Bar in Wafer with Hazelnut Cream, 43g",Chocolate,Dairy,1,3,2.25,Normal
O202601219,2026-04-25,C0034,Frozen fries,frozen food,Frozen fries,1,1,3,Normal
O202601220,2026-04-25,C0020,"Galaxy Minstrels Chocolate, 42g | Maxims Sweet Corn, 340g | Al-Ghazal Pasta Bucatini 1, 300g",Chocolate | Canned Vegetables | pasta,Chocolate | Canned Vegetables | Pasta,3,6,5.75,Normal
O202601221,2026-04-26,C0092,Fruit And Veg | Blue Mill Paprika 200 g,frozen food | Cooking & Baking,Fruit And Veg | Spices & Seasonings,2,2,4.7,Normal
O202601222,2026-04-26,C0131,"Almarai Unsalted Natural Butter, 200g",butter,Dairy,1,1,2.05,Normal
O202601223,2026-04-26,C0005,"Golden Corn Oil, 2.9L | Barakah Al Sanabel Chiffari Lisci, 450g | Cool Gear Water Bottle - Pink, 650ml",oil | pasta | back to school,Canned Vegetables | Pasta | Water,3,3,9.79,Normal
